word,score_scaled
A,0.4526284970515134
A.,0.6706223804932072
ABANDON,0.5671946255756153
ABANDONMENT,0.4924084027890488
ABASEMENT,0.3555655270519271
ABATEMENT,0.23940820229832382
ABBESS,0.4446725159040063
ABDICATION,0.45740208574001767
ABDOMEN,0.8106476486893317
ABDUCTION,0.6753959691817115
ABERRATION,0.3921630403304596
ABHOR,0.47172285180553036
ABILITY,0.4589932819695191
ABLE,0.39057184410095824
ABODE,0.6674399880342043
ABOMINABLE,0.554465055739604
ABORIGINAL,0.5576474481986067
ABOUT,0.29669126656037476
ABOVE,0.4892260103300459
ABRIDGEMENT,0.320559210002896
ABRUPT,0.5146851500020686
ABSCESS,0.719949463607751
ABSOLUTE,0.3651127044289356
ABSOLUTION,0.3460183496749186
ABSTRUSE,0.29669126656037476
ABUNDANCE,0.5528738595101026
ABUNDANT,0.6435720445916833
ABYSS,0.6594840068866974
ACADEMY,0.7406350145912695
ACCELERATION,0.7119934824602441
ACCEPTABLE,0.39693662901896387
ACCIDENT,0.7629117618042893
ACCOMMODATION,0.6801695578702156
ACCOMPLICE,0.5608298406576095
ACCORD,0.3332887798389073
ACCORDANCE,0.31578562131439175
ACCORDION,0.8552011431153712
ACCOUNT,0.5130939537725672
ACCUMULATION,0.5019555801660573
ACCURATE,0.42398696492048793
ACCUSER,0.48445242164154173
ACHE,0.6435720445916833
ACIDITY,0.6260688860671677
ACKNOWLEDGE,0.44149012344500355
ACRE,0.676987165411213
ACROBAT,0.8663395167218813
ACT,0.6276600822966689
ACTIVE,0.6324336709851732
ACTUAL,0.3507919383634229
ACTUALITY,0.2775969118063578
ACUMEN,0.30305605147838044
ADAGE,0.4542196932810148
ADAM,0.7151758749192467
ADDER,0.8663395167218813
ADDITION,0.49081720655954736
ADDITIONAL,0.4208045724614851
ADEQUATE,0.3651127044289356
ADHERENCE,0.45740208574001767
ADJECTIVE,0.5656034293461139
ADJOURNMENT,0.42398696492048793
ADMINISTRATION,0.5958361577066407
ADMIRAL,0.8026916675418245
ADMIRE,0.5592386444281081
ADMISSION,0.5576474481986067
ADMONISH,0.4192133762319837
ADOLESCENCE,0.681760754099717
ADORN,0.5274147198380799
ADULT,0.7756413316403006
ADULTERY,0.7247230522962553
ADVANCED,0.4478549083630092
ADVANTAGE,0.40330141393696955
ADVENTURER,0.7294966409847596
ADVERB,0.4398989272155021
ADVERSITY,0.45740208574001767
ADVICE,0.4987731877070544
ADZE,0.3460183496749186
AERIAL,0.8408803770498585
AFFABLE,0.4398989272155021
AFFAIR,0.5130939537725672
AFFECTION,0.7088110900012412
AFFECTIONATE,0.6881255390177228
AFFIRM,0.385798255412454
AFFIRMATION,0.43671653475649924
AFFRIGHT,0.3078296401668847
AFRAID,0.6563016144276945
AFTER,0.28396169672436344
AFTERNOON,0.7549557806567821
AGAINST,0.3921630403304596
AGE,0.6833519503292185
AGENCY,0.5210499349200743
AGGRESS,0.36829509688793843
AGGRESSIVE,0.6022009426246464
AGGRESSOR,0.5481002708215983
AGILE,0.6610752031161988
AGILITY,0.676987165411213
AGONY,0.719949463607751
AGREEMENT,0.5226411311495756
AGUE,0.2951000703308734
AH,0.4637668706580233
AID,0.5958361577066407
AIL,0.5608298406576095
AIM,0.5481002708215983
AIR,0.6547104181981931
AIRSHIP,0.8058740600008274
AIRY,0.524232327379077
AISLE,0.7788237240993034
ALACRITY,0.23940820229832382
ALBATROSS,0.8663395167218813
ALBUMIN,0.4987731877070544
ALCHEMIST,0.5656034293461139
ALCOHOL,0.8902074601644023
ALE,0.7756413316403006
ALERT,0.619704101149162
ALGAE,0.6133393162311562
ALGEBRA,0.7501821919682778
ALIAS,0.40648380639597237
ALIEN,0.6865343427882213
ALIMONY,0.6642575955752015
ALIVE,0.6165217086901591
ALKALI,0.6260688860671677
ALL,0.46694926311702617
ALLEGATION,0.4017102177074681
ALLEGE,0.385798255412454
ALLEGORY,0.32692399492090163
ALLEY,0.8488363581973657
ALLIGATOR,0.9363521508199435
ALLOTMENT,0.6865343427882213
ALLOW,0.5321883085265842
ALLY,0.6594840068866974
ALONE,0.7024463050832355
ALPHABET,0.7326790334437623
ALSO,0.35874791951092994
ALTER,0.5958361577066407
ALTERNATIVE,0.3651127044289356
ALTHOUGH,0.2696409306588507
ALTITUDE,0.6897167352472242
ALUMINIUM,0.7422262108207709
ALUMINUM,0.7358614259027652
ALWAYS,0.38420705918295256
AM,0.5091159631988136
AMATEUR,0.5703770180346182
AMAZEMENT,0.6642575955752015
AMBASSADOR,0.8058740600008274
AMBITION,0.4892260103300459
AMBITIOUS,0.581515391641128
AMBULANCE,0.9363521508199435
AMENDMENT,0.42398696492048793
AMETHYST,0.7501821919682778
AMITY,0.2648673419703465
AMMONIA,0.7915532939353147
AMOUNT,0.44149012344500355
AMOUR,0.7915532939353147
