Mean Rating,Std. Dev of Rating,English Cognate,Spanish Cognate,Point of  Diff. Letter,RT (msec),Observations (Correct RTs),Accuracy
3.93,1.177,conceive,concebir,6.0,928.6428571428571,28.0,1.0
5.33,0.721, concentrate,concentrar,10.0,775.9705882352941,34.0,0.9714285714285714
5.88,0.593,concept,concepto,8.0,815.7903225806451,35.0,1.0
4.98,0.95,conclude,concluir,7.0,762.7878787878788,33.0,0.9428571428571428
6.0,0.383, concurrent,concurrente,11.0,848.9677419354839,31.0,0.96875
6.02,0.348,conduct,conducto,8.0,768.7619047619048,21.0,0.9130434782608695
5.33,0.786,confer,conferir,7.0,856.0384615384615,26.0,0.9285714285714286
4.98,0.841,confine,confinar,7.0,743.6153846153846,26.0,0.9629629629629629
5.64,0.656,confirm,confirmar,8.0,901.2285714285714,35.0,0.9722222222222222
6.02,0.348,conflict,conflicto,9.0,729.1111111111111,27.0,0.9310344827586207
5.29,0.97,conform,conformar,8.0,734.5769230769231,26.0,0.896551724137931
5.14,0.926,consent,consentir,8.0,695.8571428571429,28.0,1.0
5.07,0.867,consequent,consecuente,6.0,762.9,30.0,0.9090909090909091
7.0,0.0, considerable,considerable,13.0,701.875,32.0,1.0
5.31,0.841,consist,consistir,8.0,791.7777777777778,27.0,0.9310344827586207
5.71,0.742,constant,constante,9.0,705.7096774193549,31.0,1.0
4.62,1.209,constitute,constituir,9.0,737.7058823529412,34.0,0.9714285714285714
3.93,0.894,constrain,constreñir,7.0,879.0769230769231,26.0,1.0
4.67,0.816,construct,construir,8.0,932.68,25.0,0.9259259259259259
5.38,0.731,consult,consultar,8.0,800.59375,32.0,0.9696969696969697
5.26,0.627,consume,consumir,7.0,796.0,28.0,0.9333333333333333
5.98,0.468,contact,contacto,8.0,783.1666666666666,30.0,1.0
4.76,0.85, contemporary,contemporáneo,10.0,822.0,30.0,0.9375
6.02,0.348,context,contexto,8.0,717.4814814814815,27.0,0.9310344827586207
5.57,0.801,contract,contrato,7.0,733.074074074074,27.0,0.9642857142857143
4.5,1.11,contradict,contradecir,7.0,833.3333333333334,33.0,1.0
5.45,0.772,contrary,contrario,8.0,830.3823529411765,34.0,0.9714285714285714
5.76,0.932,contrast,contraste,9.0,704.3870967741935,31.0,1.0
5.26,0.857,contribute,contribuir,9.0,760.5,28.0,0.9655172413793104
5.26,0.989, controversy,controversia,11.0,863.3846153846154,26.0,0.9285714285714286
5.02,0.98,convene,convenir,7.0,876.7307692307693,26.0,0.9285714285714286
5.29,0.708,converse,conversar,8.0,706.6896551724138,29.0,1.0
5.31,0.78,convert,convertir,8.0,853.952380952381,21.0,0.84
4.43,1.062,convince,convencer,5.0,776.5,30.0,0.967741935483871
5.0,0.826,cooperate,cooperar,8.0,780.4444444444445,27.0,1.0
5.31,0.68,coordinate,coordinar,9.0,804.9166666666666,24.0,0.96
2.55,1.418,core,corazón,4.0,1094.5,11.0,0.4583333333333333
4.73,0.813,corporate,corporativo,9.0,782.0333333333333,30.0,1.0
5.41,0.964, correspond,corresponder,11.0,806.1176470588235,34.0,1.0
2.19,1.087,couple,acoplar,1.0,1392.625,8.0,0.25806451612903225
4.74,1.061,create,crear,5.0,992.76,25.0,0.8928571428571429
5.95,0.44,credit,crédito,7.0,778.0882352941177,34.0,0.918918918918919
5.81,0.594,criterion,criterio,9.0,837.3703703703703,27.0,1.0
6.95,0.309,crucial,crucial,8.0,773.52,25.0,0.9259259259259259
5.95,0.38,culture,cultura,7.0,832.6206896551724,29.0,0.9666666666666667
4.57,1.13,cycle,ciclo,2.0,911.875,24.0,0.8571428571428571
4.74,1.106,data,datos,4.0,863.8,25.0,0.8928571428571429
6.83,0.935,debate,debate,7.0,820.7916666666666,24.0,0.8888888888888888
5.62,0.697,decade,década,6.0,753.36,25.0,1.0
5.43,0.801,decline,declinar,7.0,789.0,27.0,0.9642857142857143
5.21,0.682,deduce,deducir,6.0,855.2666666666667,30.0,1.0
5.14,0.751,define,definir,6.0,758.7037037037037,27.0,0.8709677419354839
5.12,0.942,definite,definido,7.0,773.258064516129,31.0,0.9117647058823529
4.79,1.048,demonstrate,demostrar,5.0,780.52,25.0,0.9259259259259259
5.12,0.942,denote,denotar,6.0,769.9032258064516,31.0,0.96875
3.1,1.265,deny,denegar,4.0,1083.92,25.0,0.7142857142857143
3.05,1.287,depress,deprimir,5.0,877.6521739130435,23.0,0.8214285714285714
5.21,0.717,derive,derivar,6.0,937.4516129032259,31.0,0.96875
3.64,1.122,design,diseñar,2.0,761.7037037037037,27.0,0.9
5.41,0.627,detect,detectar,7.0,864.4,25.0,0.8928571428571429
3.5,1.235,deviate,desviarse,3.0,933.4137931034483,29.0,0.8787878787878788
4.6,1.149,differentiate,diferenciar,4.0,711.2413793103449,29.0,1.0
6.77,0.471, dimension,dimensión,10.0,835.2121212121212,33.0,1.0
3.98,1.07,diminish,disminuir,3.0,799.9677419354839,31.0,0.9393939393939394
5.69,0.517,discrete,discreto,8.0,799.6071428571429,28.0,1.0
5.1,0.983, discriminate,discriminar,11.0,767.0,29.0,0.9666666666666667
4.0,1.288,displace,desplazar,2.0,887.4333333333333,30.0,0.9090909090909091
2.71,1.154,display,desplegar,2.0,899.4074074074074,27.0,0.8181818181818182
4.98,1.07,dispose,disponer,6.0,895.5714285714286,28.0,1.0
5.43,0.77,distinct,distinto,7.0,751.7741935483871,31.0,1.0
4.21,1.116,distort,distorsionar,7.0,847.4333333333333,30.0,0.967741935483871
4.98,0.715,distribute,distribuir,9.0,750.75,32.0,0.9696969696969697
5.74,0.701,diverse,diverso,7.0,717.1724137931035,29.0,1.0
5.86,0.814,document,documento,9.0,842.0882352941177,34.0,0.9444444444444444
4.62,1.125,domain,dominio,4.0,797.9,30.0,0.967741935483871
5.88,0.593,domestic,doméstico,9.0,803.6521739130435,23.0,0.92
5.0,0.963,dominate,dominar,7.0,836.0833333333334,24.0,1.0
7.0,0.0,drama,drama,6.0,724.6206896551724,29.0,0.9354838709677419
5.69,0.563,duration,duración,5.0,737.6428571428571,28.0,0.9655172413793104
5.14,0.952,dynamic,dinámico,2.0,867.5217391304348,23.0,0.8518518518518519
5.5,0.862,economy,economía,7.0,785.4333333333333,30.0,0.9375
5.57,0.63,edit,editar,5.0,1025.16,25.0,0.8333333333333334
5.93,0.808,element,elemento,8.0,744.5714285714286,28.0,0.9333333333333333
5.33,0.874,eliminate,eliminar,8.0,715.1724137931035,29.0,1.0
6.0,0.312,emerge,emerger,7.0,782.84,25.0,0.9259259259259259
4.52,1.469,emphasis,énfasis,2.0,980.6,20.0,0.8695652173913043
4.93,0.947,empirical,empírico,8.0,855.3529411764706,34.0,1.0
1.41,1.06,enable,habilitar,1.0,957.3333333333334,3.0,0.10714285714285714
4.74,1.061,encounter,encontrar,5.0,809.8,30.0,0.967741935483871
5.36,0.923,energy,energía,6.0,844.6363636363636,33.0,0.9428571428571428
4.93,1.068,enormous,enorme,6.0,958.8518518518518,27.0,0.9
1.79,1.025,ensure,asegurar,1.0,1104.111111111111,9.0,0.28125
4.33,0.786,entity,entidad,5.0,975.5357142857143,28.0,1.0
5.1,0.906,equip,equipar,6.0,850.5185185185185,27.0,0.9
5.88,0.55, equivalent,equivalente,11.0,791.0,31.0,0.96875
2.98,1.259,erode,erosionar,4.0,978.75,16.0,0.5925925925925926
7.0,0.0,error,error,6.0,723.53125,32.0,0.9696969696969697
4.07,0.894,establish,establecer,7.0,857.03125,32.0,1.0
4.91,1.031,estate,estado,5.0,865.72,25.0,0.8620689655172413
5.21,0.842,estimate,estimar,7.0,703.9166666666666,24.0,0.96
4.55,1.152,ethic,ética,3.0,1078.76,25.0,0.9259259259259259
4.91,0.983,ethnic,étnico,3.0,887.7407407407408,27.0,0.9642857142857143
5.33,0.721,evaluate,evaluar,7.0,734.1333333333333,30.0,0.9375
6.74,1.061,eventual,eventual,9.0,779.2592592592592,27.0,0.9310344827586207
5.79,0.871,evident,evidente,8.0,759.625,24.0,0.9230769230769231
4.76,1.185,exceed,exceder,5.0,820.7096774193549,31.0,1.0
4.79,0.871,exclude,excluir,6.0,770.1785714285714,28.0,0.9333333333333333
5.38,0.909,exhibit,exhibir,7.0,881.7586206896551,29.0,0.9666666666666667
5.19,0.969,expand,expandir,7.0,851.4193548387096,31.0,0.96875
6.02,0.349,expert,experto,7.0,817.516129032258,31.0,0.96875
5.81,0.594,explicit,explícito,9.0,766.75,28.0,0.9655172413793104
4.67,0.846,exploit,explotar,6.0,788.72,25.0,0.9615384615384616
5.41,0.857,export,exportar,7.0,689.9130434782609,23.0,1.0
4.43,1.151,expose,exponer,5.0,887.05,20.0,0.8333333333333334
5.24,0.932,external,externo,7.0,728.9655172413793,29.0,1.0
5.02,0.811,extract,extraer,6.0,782.0666666666667,30.0,0.967741935483871
5.31,0.897,facilitate,facilitar,9.0,808.3333333333334,30.0,1.0
7.0,0.0,factor,factor,7.0,635.074074074074,27.0,0.9642857142857143
7.0,0.0,federal,federal,8.0,719.483870967742,31.0,0.96875
5.55,0.942,file,fila,4.0,862.04,25.0,0.9259259259259259
6.86,0.926,final,final,6.0,666.9285714285714,28.0,1.0
5.19,0.804,finance,financiar,7.0,806.4516129032259,31.0,1.0
