Mean Rating,Std. Dev of Rating,English Cognate,Spanish Cognate,Point of  Diff. Letter,RT (msec),Observations (Correct RTs),Accuracy
5.41,0.734,incidence,incidencia,9.0,738.6774193548387,31.0,0.9393939393939394
5.38,0.661,incline,inclinar,7.0,818.2,25.0,0.9259259259259259
5.12,0.889, incorporate,incorporar,10.0,693.7647058823529,34.0,1.0
4.17,1.034,index,índice,4.0,972.304347826087,23.0,0.9583333333333334
5.29,0.805,indicate,indicar,7.0,815.40625,32.0,1.0
6.98,0.154, individual,individual,10.0,644.8148148148148,27.0,0.9
5.12,0.832,induce,inducir,6.0,747.25,24.0,0.8888888888888888
6.69,1.297, inevitable,inevitable,10.0,764.7777777777778,27.0,0.9642857142857143
5.55,0.803,infer,inferir,6.0,819.5,32.0,1.0
5.5,0.804,infrastructure,infraestructura,6.0,722.074074074074,27.0,0.9642857142857143
5.81,0.969,inherent,inherente,9.0,746.7407407407408,27.0,0.9642857142857143
5.62,0.661,inhibit,inhibir,7.0,737.25,24.0,0.9230769230769231
5.81,0.594,initial,inicial,4.0,680.7241379310345,29.0,0.9666666666666667
4.55,1.152,initiate,iniciar,4.0,780.6666666666666,27.0,0.9642857142857143
4.93,0.838,innovate,innovar,7.0,809.8275862068965,29.0,1.0
5.6,0.734,insert,insertar,7.0,786.5454545454545,33.0,1.0
3.95,1.168,inspect,inspeccionar,7.0,992.6071428571429,28.0,0.9333333333333333
5.14,0.977,instance,instancia,8.0,688.9333333333333,30.0,1.0
5.69,1.024,institute,instituto,9.0,654.5454545454545,22.0,0.9565217391304348
4.62,1.188,instruct,instruir,7.0,720.5625,32.0,1.0
6.98,0.154,integral,integral,9.0,694.8709677419355,31.0,1.0
5.1,0.85,integrate,integrar,8.0,761.3,30.0,1.0
4.55,1.173,integrity,integridad,8.0,785.6153846153846,26.0,0.9285714285714286
5.69,0.715,intelligent,inteligente,6.0,743.1764705882352,34.0,1.0
5.83,0.537,intense,intenso,7.0,785.8571428571429,28.0,0.9655172413793104
4.74,0.964,interact,interactuar,9.0,789.4545454545455,33.0,0.9428571428571428
4.98,1.0, intermediate,intermedio,10.0,682.2222222222222,27.0,1.0
5.07,0.947,internal,interno,7.0,787.3,30.0,0.9090909090909091
5.45,0.942, interpret,interpretar,10.0,684.4090909090909,22.0,0.88
5.62,0.987,interval,intervalo,9.0,814.1891891891892,37.0,1.0
5.14,0.977,intervene,intervenir,9.0,886.7666666666667,30.0,1.0
4.62,1.103,intrinsic,intrínseco,8.0,923.9677419354839,31.0,0.96875
4.36,1.122, invest,invertir,10.0,885.060606060606,33.0,0.9166666666666666
5.36,0.958,investigate,investigar,5.0,767.3571428571429,28.0,0.9333333333333333
4.64,1.1,invoke,invocar,5.0,852.1034482758621,29.0,0.9354838709677419
4.17,1.342,involve,envolver,1.0,1074.7916666666667,24.0,0.8571428571428571
2.14,1.299,isolate,aislar,1.0,1011.4,5.0,0.21739130434782608
4.86,0.977,justify,justificar,7.0,695.3666666666667,30.0,0.967741935483871
6.98,0.154,labor,labor,6.0,678.8518518518518,27.0,0.9
5.86,0.608,lecture,lectura,7.0,804.5172413793103,29.0,0.90625
7.0,0.0,legal,legal,6.0,793.9655172413793,29.0,0.9666666666666667
4.95,0.882,legislate,legislar,8.0,750.8709677419355,31.0,0.96875
7.0,0.0,liberal,liberal,8.0,755.03125,32.0,1.0
5.02,1.115,license,licencia,6.0,678.3103448275862,29.0,1.0
4.1,1.1,locate,localizar,5.0,961.0833333333334,24.0,0.8571428571428571
5.81,0.862,logic,lógica,6.0,874.3181818181819,22.0,0.8461538461538461
3.62,1.431,maintain,mantener,3.0,898.7096774193549,31.0,0.8857142857142857
5.17,1.287,major,mayor,3.0,917.3478260869565,23.0,0.8518518518518519
5.14,1.002,manipulate,manipular,9.0,760.3333333333334,33.0,0.9705882352941176
6.83,0.935,manual,manual,7.0,690.7096774193549,31.0,1.0
5.52,0.994,margin,margen,5.0,807.46875,32.0,1.0
3.45,1.234,mature,maduro,3.0,843.7931034482758,29.0,0.9666666666666667
5.48,0.89,maximize  ,maximizar,8.0,758.9230769230769,26.0,1.0
5.31,0.841,mechanism,mecanismo,4.0,879.16,25.0,0.9259259259259259
5.17,0.794,media,medios,5.0,825.64,25.0,0.8928571428571429
4.6,1.251,mediate,mediar,6.0,803.12,25.0,0.8928571428571429
4.76,1.008,medical,médico,6.0,776.9655172413793,29.0,1.0
